teks_bersih,kategori,urgensi,instansi
pelaku kekerasan dalam rumah tangga kabur setelah menyerang korban parah,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
kepada yth pemda warga bakar sampah tiap hari asapnya masuk ke rumah ganggu pernapasan,kebersihan,urgen,Dinas Lingkungan Hidup
ada keluhan nih motor trail sering ugal ugalan di jalan kampung ganggu masyarakat,keamanan,biasa,Satuan Polisi Pamong Praja
bu imunisasi anak di kelurahan kami ga jalan udah berbulan bulan,kesehatan,urgen,Dinas Kesehatan
pengaduan: wabah dbd menyebar cepet udah 5 orang di rt kami positif tolong dong,kesehatan,sangat_urgen,Dinas Kesehatan
ada keluhan nih drainase mampet banjir tiap hujan deras udah lama nih,infrastruktur,urgen,Dinas Pekerjaan Umum
permisi mau lapor pohon besar tumbang nutupin jalan utama total ga bisa dilewati kapan ada solusinya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada keluhan nih makasih ya udah benerin jalan di depan rumah kami,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tembok penahan tanah jebol longsor ancam rumah warga di bawah,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
dengan hormat sampah daun di depan rumah belum disapu petugas sudah kami laporkan berkali kali,kebersihan,biasa,Dinas Lingkungan Hidup
halo selamat siang loket pendaftaran puskesmas prosesnya lama banget tolong dong,kesehatan,biasa,Dinas Kesehatan
pemkot salatiga keren programnya pro rakyat terima kasih sebelumnya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda kk kami salah data nama anak ketuker udah lapor berkali kali ga diperbaiki penduduk resah ini,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
parkir di kantor kecamatan tidak tertata dengan baik,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mohon sampah berserakan di depan minimarket ga ada yang bersihin mohon ditindak,kebersihan,biasa,Dinas Lingkungan Hidup
kepada yth pemda makasih ya udah benerin jalan di depan rumah kami,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih sampah berserakan di depan minimarket ga ada yang bersihin mohon perhatiannya,kebersihan,biasa,Dinas Lingkungan Hidup
permisi mau lapor pasien kritis ditolak igd rs daerah katanya penuh padahal darurat,kesehatan,sangat_urgen,Dinas Kesehatan
mau lapor nih pos ronda di rt kami dah rusak perlu diperbaiki kami tunggu tindakannya,infrastruktur,biasa,Dinas Pekerjaan Umum
