teks_bersih,kategori,urgensi,instansi
motor saya dibegal di daerah bugel,keamanan,urgen,Satuan Polisi Pamong Praja
motor saya dibegal tadi malam di jalan bugel,keamanan,urgen,Satuan Polisi Pamong Praja
saya jadi korban begal motor di daerah bugel,keamanan,urgen,Satuan Polisi Pamong Praja
ada begal motor di daerah bugel warga takut lewat malam,keamanan,urgen,Satuan Polisi Pamong Praja
tolong patroli di bugel sering ada begal motor,keamanan,urgen,Satuan Polisi Pamong Praja
teman saya dibegal dan motornya dirampas di jalan sepi,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
begal membawa senjata tajam merampas motor warga,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
ada perampokan motor di gang dekat pasar bugel,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pengendara motor dijambret tasnya di lampu merah,keamanan,urgen,Satuan Polisi Pamong Praja
curanmor makin sering terjadi di parkiran warga,keamanan,urgen,Satuan Polisi Pamong Praja
motor warga dicuri dari halaman rumah semalam,keamanan,urgen,Satuan Polisi Pamong Praja
pencurian motor terjadi lagi di kompleks kami,keamanan,urgen,Satuan Polisi Pamong Praja
ada maling motor berkeliaran di perumahan,keamanan,urgen,Satuan Polisi Pamong Praja
warga melihat pelaku begal kabur setelah merampas motor,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
daerah bugel rawan begal dan butuh patroli malam,keamanan,urgen,Satuan Polisi Pamong Praja
lapor begal motor sering terjadi di jalan menuju bugel,keamanan,urgen,Satuan Polisi Pamong Praja
seorang warga diserang begal saat pulang kerja,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
ada penyerangan terhadap pengendara motor oleh begal,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mohon tindak pelaku pencurian motor di wilayah bugel,keamanan,urgen,Satuan Polisi Pamong Praja
motor hilang dicuri saat diparkir depan rumah,keamanan,urgen,Satuan Polisi Pamong Praja
