teks_bersih,kategori,instansi,urgensi
kartu keluarga masih salah data sudah lapor berkali kali tapi belum diperbaiki kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
SKTM untuk keperluan sekolah tidak bisa didapatkan dipersulit harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
kartu BPJS tidak aktif padahal iuran selalu dibayar tepat waktu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
perawat di puskesmas tidak ramah kepada pasien lanjut usia,kesehatan,Dinas Kesehatan,biasa
got di depan gang tersumbat air meluap ke jalan saat hujan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
ada bangunan yang melanggar IMB dibiarkan terus dibangun harap segera diselesaikan,keamanan,Satuan Polisi Pamong Praja,biasa
data kependudukan kami masih salah setelah berkali kali melapor harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada warga yang buang sampah sembarangan di pinggir jalan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
halo pemda ini hanya mau bilang lingkungan kami sudah bersih terima kasih harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
ada kasus gizi buruk parah pada balita di desa kami butuh bantuan segera harap segera diselesaikan,kesehatan,Dinas Kesehatan,sangat_urgen
jalan masuk kampung kami belum diaspal masih tanah berlumpur mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,urgen
ada bangunan yang melanggar IMB dibiarkan terus dibangun harap segera diselesaikan,keamanan,Satuan Polisi Pamong Praja,biasa
jembatan gantung di desa kami roboh tidak bisa dilewati sama sekali mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
ada pedagang kaki lima yang berjualan di badan jalan membahayakan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,biasa
pejabat desa tidak transparan dalam pengelolaan dana desa mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
tawuran antar kelompok menggunakan senjata tajam ada korban luka parah kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
keributan di tempat hiburan malam mengganggu warga sekitar setiap malam,keamanan,Satuan Polisi Pamong Praja,urgen
bau busuk dari tempat pembuangan sampah ilegal di kebun kosong tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,urgen
jalan alternatif menuju desa kami tidak bisa dilalui saat hujan deras tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
tiang listrik hampir roboh di pinggir jalan rawan menimpa warga,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
penggunaan narkoba di kalangan remaja di lingkungan kami sangat meresahkan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
maling motor masuk ke perumahan kami sudah beberapa kali kejadian,keamanan,Satuan Polisi Pamong Praja,urgen
di RT kami sering terjadi pencurian kendaraan bermotor malam hari,keamanan,Satuan Polisi Pamong Praja,urgen
fasilitas kamar rawat inap di rumah sakit daerah tidak cukup selalu penuh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
pembuatan akta nikah dipersulit dan dimintai biaya tambahan tidak resmi mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
kartu keluarga masih salah data sudah lapor berkali kali tapi belum diperbaiki kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
penertiban PKL di trotoar tidak konsisten dibiarkan kembali berjualan,keamanan,Satuan Polisi Pamong Praja,biasa
rambu lalu lintas di persimpangan sudah pudar tidak terbaca,infrastruktur,Dinas Pekerjaan Umum,biasa
aspal jalan kabupaten mengelupas di beberapa titik tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
bank sampah di kelurahan kami tidak berjalan dengan baik kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
surat keterangan tidak mampu sulit didapatkan untuk keperluan RS kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
warga membuang sampah ke sungai kecil dekat permukiman mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
antrian di puskesmas sangat panjang tidak ada yang mengatur mohon segera ditangani,kesehatan,Dinas Kesehatan,biasa
SKTM untuk keperluan sekolah tidak bisa didapatkan dipersulit harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
trotoar di jalan utama rusak ada beberapa bagian yang copot mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,biasa
petugas kebersihan sudah lama tidak bertugas di wilayah kami tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
jalan masuk kampung kami belum diaspal masih tanah berlumpur mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,urgen
program bantuan sosial tidak tepat sasaran banyak warga mampu yang dapat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
jalan masuk kampung kami belum diaspal masih tanah berlumpur mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,urgen
pelayanan di kantor kecamatan sangat lama bisa menunggu sampai sore sudah lama tidak ada tindakan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada pedagang kaki lima yang berjualan di badan jalan membahayakan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,biasa
ada oknum yang menarik pungutan liar di terminal angkutan umum kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
ada begal membunuh warga tadi malam di jalan gelap menuju desa kami sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
ada begal membunuh warga tadi malam di jalan gelap menuju desa kami sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
